fafb,mcns,maol
720575940615594399,96333,58195
720575940615730026,96518,58601
720575940615753099,96530,59160
720575940616189841,96719,59774
720575940616264646,97196,60010
720575940616298290,98025,60042
720575940616321492,98284,60311
720575940616332742,98567,60577
720575940616333457,99342,60737
720575940616392276,99888,61477
720575940616715421,101202,61491
720575940616755798,101269,61511
720575940617161787,101415,62091
720575940617234059,101523,62130
720575940617307275,101972,62366
720575940617365597,102026,62584
720575940617388427,102115,62825
720575940617469021,102503,63339
720575940617508281,102562,63404
720575940617537681,102777,64084
720575940617557794,102792,64534
720575940617574585,103230,64679
720575940617756283,103859,65107
720575940617783581,103872,65191
720575940617852573,104030,65214
720575940617972198,104408,65411
720575940618040404,104584,65442
720575940618146875,105127,65583
720575940618193665,105236,65591
720575940618244898,105776,66626
720575940618270754,105794,66777
720575940618271316,106102,66981
720575940618324564,106283,67083
720575940618365725,106324,67519
720575940618454848,106596,70752
720575940618502091,107816,70925
720575940618601893,107822,71203
720575940618757686,108058,72834
720575940618780752,108293,73192
720575940619105600,108336,75187
720575940619262331,108359,75847
720575940619262844,108523,76204
720575940619285163,109849,76836
720575940619427163,109933,77978
720575940619452027,109958,78007
720575940619584064,110178,78190
720575940619588918,110242,78218
720575940619629141,110301,78952
720575940619763309,110432,78961
720575940619862987,110549,79787
720575940619907633,110631,81041
720575940619954648,111059,81378
720575940619975765,111152,82299
720575940620010712,111366,82959
720575940620031111,111376,82979
720575940620045771,111479,83116
720575940620075686,111679,83207
720575940620115316,111751,83320
720575940620191764,111832,83698
720575940620227823,111893,83779
720575940620402718,112045,83954
720575940620441680,112050,83972
720575940620489094,112095,84318
720575940620657543,112307,84415
720575940620692103,112327,85889
720575940620806571,112335,86371
720575940620833627,112495,86509
720575940620862703,112972,86617
720575940620864289,113066,86984
720575940620865473,113105,87010
720575940620880832,113146,87208
720575940620940820,113158,87349
720575940620960902,113292,87894
720575940620963931,113370,88135
720575940621002918,113445,88148
720575940621068404,113504,88149
720575940621305953,113505,88320
720575940621347750,113747,88410
720575940621348272,113774,88713
720575940621425134,114034,88716
720575940621478765,114054,88765
720575940621582145,114149,88850
720575940621638832,114339,88880
720575940621642630,114350,89059
720575940621674356,114481,89062
720575940621687668,114805,89177
720575940621705754,114857,89417
720575940621785727,114998,89688
720575940621796084,115123,89784
720575940621804927,115332,89881
720575940621885556,115557,89901
720575940621885567,115676,90036
720575940621906312,115888,90380
720575940621949957,116547,90590
720575940622063487,116660,90600
720575940622077300,116664,90976
720575940622077722,116684,91076
720575940622117572,116854,91410
720575940622183457,116891,91414
720575940622260830,116911,91443
720575940622355836,117015,91766
720575940622362845,117062,91803
720575940622393014,117177,92010
720575940622453175,117181,92241
720575940622461978,117893,92467
720575940622574972,118498,92502
720575940622586145,119089,92588
720575940622735740,119130,92660
720575940622760918,119424,92878
720575940622910678,119458,92954
720575940622998742,119912,93107
720575940623049752,120162,93130
720575940623250200,120228,93623
720575940623305229,120329,93720
720575940623445517,120608,93781
720575940623467533,120912,93804
720575940623473895,121001,93845
720575940623575507,121127,94012
720575940623688455,122181,94133
720575940623733386,122229,94203
720575940623733700,122556,94344
720575940623742972,123114,94357
720575940623897382,123755,94443
720575940623945997,124523,94446
720575940623958313,124736,94492
720575940623999999,125068,94813
720575940624092868,125133,94939
720575940624149685,125152,95160
720575940624213501,125660,95270
720575940624307208,125914,95293
720575940624327402,125924,95322
720575940624573222,126960,95429
720575940624673515,127137,95501
720575940624743147,127667,95658
720575940624766503,128295,95798
720575940624817726,128382,95813
720575940624865575,128518,95870
720575940624940132,128640,96078
720575940625039335,128715,96726
720575940625253257,129041,96821
720575940625263091,129282,96972
720575940625412414,129300,97168
720575940625851536,129393,97287
720575940625905678,129634,97629
720575940625944252,129793,97635
720575940625971900,129995,97673
720575940625983038,130037,97685
720575940626011952,130236,97809
720575940626113854,130379,98078
720575940626151461,130428,98398
720575940626215568,130492,98585
720575940626219620,130501,98787
720575940626237386,130857,99174
720575940626272002,130898,99286
720575940626293379,130983,99731
720575940626293808,131211,100414
720575940626311461,132122,100520
720575940626373182,132233,100688
720575940626408650,133048,100935
720575940626439866,133085,100946
720575940626465594,133421,101801
720575940626487226,133961,101957
720575940626563844,134170,102045
720575940626690960,135145,102273
720575940626696548,135367,102595
720575940626799356,135601,102886
720575940626871396,136264,103655
720575940627056113,136338,103725
720575940627070308,136491,103974
720575940627145861,136802,104063
720575940627238430,136840,104227
720575940627248280,136851,104471
720575940627408773,137009,104486
720575940627411593,137104,104551
720575940627490703,137337,104674
720575940627510544,137362,104901
720575940627531651,137526,105411
720575940627561605,137785,105416
720575940627622673,138114,105553
720575940627642757,138172,106472
720575940627644693,138239,106528
720575940627652629,138587,106716
720575940627723645,138844,106973
720575940627750555,138888,107117
720575940627908455,139112,107247
720575940627913220,139385,107331
720575940627943172,140325,107397
720575940627958534,140424,107610
720575940627965031,140486,107796
720575940628000399,140886,108050
720575940628027800,141478,108076
720575940628028797,141572,108179
720575940628035605,141649,108455
720575940628205705,141686,108562
720575940628227465,142108,108639
720575940628291349,142208,108764
720575940628339912,142283,108872
720575940628365052,142373,108895
720575940628484907,142602,109001
720575940628516355,143459,109281
720575940628568514,143486,109727
720575940628791114,143547,109739
720575940628800784,143608,109854
720575940628807683,143742,110131
720575940628988007,143744,110218
720575940629099343,144439,110278
720575940629138025,145243,110321
720575940629231888,145676,110352
720575940629267564,145850,110609
720575940629339751,146174,111188
720575940629493863,146919,111619
720575940629612226,147363,111639
720575940629774071,147478,112570
720575940629781698,147663,113130
720575940629919788,147740,113159
720575940630204202,148307,113218
720575940630204476,148506,113234
720575940630254583,148534,113598
720575940630272411,148594,113624
720575940630273150,148639,113631
720575940630299434,148717,113793
720575940630334787,149288,113892
720575940630372603,149451,114154
720575940630451415,149871,114255
720575940630509116,149879,114413
720575940630606137,150070,114589
720575940630946647,150327,114854
720575940631024687,150444,115189
720575940631037015,150456,115512
720575940631125156,150461,115535
720575940631175030,151008,115797
720575940631217751,151079,115922
720575940631372406,151697,117267
720575940631626514,151961,117661
720575940631629899,152135,117672
720575940631731523,152469,117708
720575940631735826,152708,117779
720575940631773226,154385,118025
720575940631876153,154713,118068
720575940631906360,154757,118115
720575940631992623,155495,118810
720575940632007224,155662,118908
720575940632110543,155800,119340
720575940632209199,155856,119410
720575940632321355,155984,119933
720575940632335500,156418,120171
720575940632407265,157543,120299
720575940632426660,157808,121548
720575940632668753,157994,121683
720575940632678687,161349,122180
720575940632743751,163479,122272
720575940632781139,164251,122689
720575940632874029,165090,122872
720575940632898444,166048,122927
720575940632913965,166088,123133
720575940632950948,166177,123305
720575940632959132,166875,123338
720575940633121692,168200,123393
720575940633202914,169581,124302
720575940633203620,169852,124326
720575940633217607,171500,124709
720575940633275874,171871,125042
720575940633321954,172416,125577
720575940633427155,172714,126296
720575940633668322,173860,126503
720575940633798335,174164,127053
720575940633836954,176330,127328
720575940633985436,176579,127534
720575940634198684,177347,127612
720575940634350584,179499,127619
720575940634672736,179663,127726
720575940634688156,180844,128221
720575940634732439,181579,128587
720575940634788448,181615,128620
720575940634922859,181830,129376
720575940635198815,185021,129471
720575940635292351,185350,130570
720575940635551840,185678,131233
720575940635868596,187352,132220
720575940635928939,188071,132544
720575940635934456,190215,132620
720575940636105327,192417,133649
720575940636835703,192746,136676
720575940637167205,194530,136816
720575940637414975,195505,138276
720575940637626480,195689,138734
720575940637680782,196297,138916
720575940637744752,196627,138954
720575940637960158,197271,139150
720575940638137065,199300,139532
720575940638144602,201344,139701
720575940638180186,201724,139750
720575940638182889,201985,139969
720575940638493156,206217,140796
720575940638678854,206684,142036
720575940638690118,207853,142626
720575940638923492,209858,144564
720575940638958707,210043,145128
720575940639023962,210886,146008
720575940639075517,212192,146050
720575940639124814,43822,146566
720575940639283765,44988,146611
720575940639477107,45509,146905
720575940639931480,49386,147023
720575940640064163,53928,148997
720575940640170328,54395,149457
720575940640355536,56326,150268
720575940640376947,59768,150308
720575940640738648,60693,150358
720575940640758912,62968,150561
720575940641234421,67902,151906
720575940641341685,71107,152173
720575940641586139,71274,152297
720575940641752309,71377,153081
720575940641982683,72588,153194
720575940644030830,73631,153364
720575940644315080,76597,153984
720575940644736456,82462,154024
720575940644763684,84943,156268
720575940644951844,85599,156783
720575940645193764,87206,156841
720575940645570071,88509,157595
720575940645636375,88546,157993
720575940646966819,88807,159516
720575940647158819,90463,159972
720575940647389236,93438,160081
720575940647596164,93695,160978
720575940650290809,94711,22180
720575940652927990,95445,27381
720575940653561334,95582,28145
720575940654782625,96128,29174
720575940655307681,96359,30235
720575940660514945,97281,30824
720575940660619649,98440,30950
720575940605629356,98828,31198
720575940605681073,98989,31764
720575940606776706,100248,32053
720575940607022722,100395,33032
720575940607363593,100907,33444
720575940607596162,100984,33586
720575940608155605,101319,34310
720575940608872131,101420,34680
720575940608896779,101930,35760
720575940610412078,101943,35937
720575940610841976,101991,36306
720575940611462350,102491,37011
720575940611860578,103572,37862
720575940612008154,103660,37989
720575940612358579,103951,38335
720575940612485489,103964,38650
720575940612845721,104542,40074
720575940613262870,104835,40136
720575940613271779,105311,41056
720575940613551853,105769,41454
720575940614261555,106041,41636
720575940614366111,107177,41847
720575940615488834,108263,43010
720575940615647634,108413,43735
720575940616433269,108951,44955
720575940616675033,109237,46227
720575940616811220,109954,46450
720575940617118533,110058,46584
720575940617253435,110811,48391
720575940617294166,111281,48747
720575940617599193,111358,49514
720575940617645213,111533,50331
720575940617656610,111546,50651
720575940617780153,112117,50965
720575940617910804,112207,51312
720575940618349825,112301,51398
720575940618509851,112373,52134
720575940618722112,112691,53228
720575940618906270,112708,53516
720575940618984606,113201,53724
720575940619101248,113765,53855
720575940619280320,114085,54334
720575940619567969,114180,55038
720575940619592395,114228,55039
720575940619680472,114673,55173
720575940619842901,114725,55503
720575940619943845,115026,56371
720575940620152199,115088,57290
720575940620368587,115306,57737
720575940620700190,115379,57847
720575940620914017,115448,57860
720575940620928390,116053,58170
720575940620988654,116988,58544
720575940621220590,117395,58866
720575940621381723,117488,59587
720575940621412518,117979,59689
720575940622031130,118098,59759
720575940622349388,118202,59855
720575940622719564,118783,59956
720575940622720717,118989,60195
720575940623073532,119200,60281
720575940623357222,120394,61132
720575940623502323,121353,61890
720575940623535340,121482,62000
720575940623571711,121655,62308
720575940623672979,123183,62896
720575940623972076,123188,63777
720575940624081993,123625,63984
720575940624293895,123668,64112
720575940624317367,123714,65855
720575940624717053,123742,66190
720575940624811708,124494,66862
720575940624829927,124515,67054
720575940624936171,125054,67846
720575940624962062,126686,68097
720575940625027260,127001,68117
720575940625095205,127823,68584
720575940625148199,127890,70438
720575940625260839,128280,72618
720575940625297916,129028,73025
720575940625523436,129547,74000
720575940625626638,130592,76114
720575940626543893,130643,78786
720575940626551994,132576,79501
720575940626692389,132853,79519
720575940626724400,132998,81387
720575940626724414,133089,81785
720575940626834584,133341,83525
720575940626914759,133374,83871
720575940626915109,133576,87302
720575940626951811,133680,87381
720575940627033354,133934,87849
720575940627395868,134864,87925
720575940627427600,134880,88621
720575940627530756,135240,88743
720575940627616277,136178,89422
720575940627624977,136662,89486
720575940627705426,137146,90133
720575940627758858,138978,90824
720575940628263686,139135,91014
720575940628550087,140008,91034
720575940628609788,140526,91856
720575940628819399,141012,92412
720575940629124355,141059,92650
720575940629205035,141192,92755
720575940629477627,141270,92891
720575940629553487,141985,93271
720575940630747356,142694,93318
720575940630851900,143278,93479
720575940630982796,143600,94103
720575940631001903,144426,94138
720575940631189622,144987,94260
720575940631383594,145561,94576
720575940631394245,147063,94720
720575940631484411,147259,95259
720575940631973903,147500,95470
720575940632123020,149940,95838
720575940632125521,150008,95902
720575940632521273,150904,95937
720575940633696723,151121,96005
720575940633822690,151319,96016
720575940634198483,153837,96169
720575940634365852,155134,96215
720575940634959200,156882,96565
720575940635523007,158056,96625
720575940636073567,158074,96725
720575940636104811,158455,96953
720575940636484453,162743,97660
720575940636497118,164502,97790
720575940637711326,164991,97939
720575940638367834,168491,98117
720575940639176576,171737,98594
720575940639544373,172004,98597
720575940639605107,177497,99474
720575940639761213,180988,99979
720575940640009533,181343,100760
720575940640566845,186215,101574
720575940642688909,186976,102204
720575940643146788,188086,104080
720575940643147044,192855,104419
720575940644694564,199036,104430
720575940644711972,200176,104663
720575940645089646,203759,104820
720575940645312535,209509,105177
720575940645824110,212593,105580
720575940647533188,216496,106164
720575940649765497,30734,106245
720575940649880953,43109,106407
720575940650438009,45495,106665
720575940660639361,61342,106747
720575940603022304,63532,107689
720575940607076482,64692,107893
720575940610428484,66110,108101
720575940612258929,66918,108448
720575940615427650,70265,108474
720575940615459487,76737,109007
720575940615851167,78280,109308
720575940616000268,89679,109431
720575940617075798,89951,110514
720575940618618934,90993,110810
720575940619115077,97126,111806
720575940619431047,98413,113257
720575940619468086,98920,113403
720575940619970480,100840,113474
720575940620478959,100869,114693
720575940620595792,101400,115134
720575940621338278,102046,116538
720575940621530816,103250,116746
720575940622707895,106061,116974
720575940623388819,108330,117349
720575940623606227,108397,117401
720575940623745930,108908,117900
720575940624217385,109152,118645
720575940624477111,109178,118784
720575940624664819,109939,118844
720575940626143946,111953,119087
720575940626457034,112614,119172
720575940626820227,112629,119666
720575940627056202,113122,119672
720575940627633736,113614,120391
720575940628126024,114722,121335
720575940628467708,116372,122095
720575940629207056,117033,123555
720575940629788098,118552,125254
720575940629851436,120813,125333
720575940630173655,121560,125858
720575940630820396,124506,126086
720575940631115771,124878,127273
720575940631508175,126197,127665
720575940631619667,127295,128235
720575940632093068,127334,129721
720575940632158767,130065,130173
720575940632836435,130384,130652
720575940634284444,136374,131722
720575940635037082,136777,132645
720575940635633271,137121,132703
720575940635996015,138710,132793
720575940636121012,140251,134011
720575940636685157,143672,134565
720575940638195177,144196,135704
720575940639710835,144611,135872
720575940644015008,144846,136284
720575940646929187,145213,136474
720575940609139907,156156,138246
720575940611869206,156610,138285
720575940613547673,162252,139434
720575940613905583,168340,139548
720575940613940911,174402,139983
720575940615624972,179222,140724
720575940616361228,185995,141142
720575940619058772,187964,142822
720575940619201413,197828,143585
720575940619973323,198666,144822
720575940620393521,32564,144841
720575940620940097,40822,145298
720575940623271306,59327,146440
720575940623683255,60485,146674
720575940623776696,62317,147382
720575940624483592,63371,148696
720575940629152505,68021,149389
720575940629918661,71101,149672
720575940630971589,76081,150594
720575940631867715,87465,151577
720575940632258607,90636,153050
720575940632502543,93391,153561
720575940632871469,96506,156260
720575940635411307,96948,157275
720575940639772760,97526,160122
720575940644025248,99777,14919
720575940652675574,106851,28353
720575940604812465,111756,29028
720575940615743371,112397,29957
720575940617290582,115539,30761
720575940619192709,119554,31258
720575940619763915,121484,34403
720575940619877615,121657,34565
720575940620123477,125571,34690
720575940624422664,131345,35408
720575940630822522,131513,36084
720575940639293493,133329,36341
720575940647384884,136363,36511
720575940621731056,162609,37125
720575940622284070,175574,37389
720575940623758377,63988,37515
720575940621992820,64143,39652
720575940603390380,14326,21682
720575940603391778,16122,23678
720575940603544363,20607,23759
720575940604198828,24740,26252
720575940604495537,27389,26412
720575940604781490,32372,26581
720575940604959712,34810,26690
720575940604965548,39769,27066
720575940605073376,40511,27382
720575940605113056,43435,28053
720575940605140396,43914,28681
720575940605204960,43983,28783
720575940605426562,44889,28912
720575940605613926,45600,29436
720575940605676646,46863,29477
720575940605686956,47149,29500
720575940605737318,47218,29539
720575940605985382,49411,30233
720575940606014566,54430,30240
720575940606106801,56168,30416
720575940606192049,58569,30563
720575940606296497,59627,30589
720575940607049673,61503,30609
720575940607123145,61726,30701
720575940607175369,61827,30740
720575940607219634,62122,30861
720575940607288265,62454,31095
720575940607415817,62735,31133
720575940607509890,63096,31282
720575940607599305,63211,31441
720575940607612290,63393,31496
720575940607652738,63757,31633
720575940607678594,63796,31645
720575940607743154,63842,31653
720575940607867593,64314,31741
720575940608209842,65677,31749
720575940608302601,66213,31856
720575940608584457,66240,31962
720575940608632329,67183,31969
720575940608675932,68059,32011
720575940608695817,68426,32091
720575940608720597,68875,32119
720575940608872796,69057,32245
720575940608967179,69638,32280
720575940608972739,69886,32388
720575940609060107,71432,32462
720575940609083349,71481,32503
720575940609102805,72984,32711
720575940609137877,73199,32825
720575940609193227,73454,33080
720575940609227275,73627,33084
720575940609232341,73837,33126
720575940609270830,73952,33232
720575940609287945,73962,33272
720575940609289411,74315,33370
720575940609306819,74882,33395
720575940609653699,75202,33562
720575940609683651,75248,33647
720575940609863492,75430,33869
720575940610077635,75994,33912
720575940610100686,76521,33962
720575940610118468,76618,34235
720575940610428996,76795,34280
720575940610583342,77417,34497
720575940610584110,77532,34968
720575940610651694,77550,36894
720575940610689173,77995,37141
720575940610726190,78719,37169
720575940610937810,79188,37430
720575940610977746,79425,37533
720575940611030574,79491,37548
720575940611044910,79526,37998
720575940611090073,79630,38366
720575940611091058,80088,38739
720575940611125202,80444,39301
720575940611212441,81023,39432
720575940611225976,81119,39687
720575940611255250,81358,39894
720575940611287928,81454,40067
720575940611305678,81774,40078
720575940611363170,81798,40130
720575940611370872,81977,40718
720575940611423842,82999,41038
720575940611642210,83339,41229
720575940611652194,83533,41282
720575940611776113,83550,41290
720575940611851413,84208,41308
720575940611965138,84412,41958
720575940612067546,84497,42352
720575940612085909,84804,42762
720575940612103386,84950,42771
720575940612117978,85487,43633
720575940612268913,85910,43643
720575940612280945,86053,43834
720575940612330609,86080,43864
720575940612373198,86280,44106
720575940612404954,86771,44213
720575940612423386,86792,44363
720575940612477809,87079,45437
720575940612492211,87723,46147
720575940612507885,87895,46690
720575940612511658,88471,46947
720575940612618931,89219,47171
720575940612658984,89610,47204
720575940612664818,89847,47299
720575940612670361,90204,47643
720575940612673393,90424,48105
720575940612678130,90582,48885
720575940612684773,91215,48909
720575940612714901,91320,48913
720575940612726770,91560,49321
720575940612734131,92098,50223
720575940612737685,92240,50286
720575940612748146,92560,50520
720575940612757490,92587,50621
720575940612845590,92916,50871
720575940612863283,93005,50976
720575940612882906,93037,51169
720575940612885935,93324,51461
720575940612916338,93508,51599
720575940612975530,93516,51765
720575940612994582,93672,51776
720575940613034202,94123,51986
720575940613051365,94272,52109
720575940613085337,94469,52514
720575940613110442,94680,52545
720575940613152170,94764,52830
720575940613208293,94833,52929
720575940613273059,95130,53129
720575940613296554,95195,53194
720575940613317859,95372,53388
720575940613471090,95513,53396
720575940613521522,95595,54029
720575940613547501,95892,54050
720575940613550061,95943,54240
720575940613674280,95976,54442
720575940613742317,96023,54639
720575940613792493,96226,54743
720575940613803245,96361,55272
720575940613818664,96822,55509
720575940613867183,96854,55596
720575940613876776,96883,56060
720575940613936109,97312,56292
720575940613991391,97394,56636
720575940614019309,97417,57119
720575940614135215,97515,57285
720575940614141250,97536,57436
720575940614257298,97627,57604
720575940614275624,97745,57610
720575940614329666,97910,57635
720575940614341954,97937,58022
720575940614400510,97956,58313
720575940614448337,97994,58709
720575940614454183,98087,58823
720575940614557078,98292,59267
720575940614567731,98613,59271
720575940614667570,98639,59350
720575940614677702,98822,59484
720575940614695599,98842,59520
720575940614710737,98845,59830
720575940614771874,98909,60204
720575940614816150,98917,60357
720575940614932191,98986,60366
720575940614965906,99183,60550
720575940615002791,99188,60684
720575940615016098,99216,60785
720575940615028341,99242,61080
720575940615044094,99288,61118
720575940615061666,99318,61419
720575940615076002,99322,61755
720575940615093410,99530,61759
720575940615130218,99841,61815
720575940615144190,99876,62294
720575940615189407,99918,62358
720575940615198370,99944,62567
720575940615260428,99954,63002
720575940615270210,99999,63257
720575940615279510,100011,63263
720575940615297503,100027,63484
720575940615312746,100036,63495
720575940615315602,100055,63686
720575940615320994,100118,63751
720575940615338642,100270,63815
720575940615404694,100305,63962
720575940615425534,100416,65386
720575940615494722,100546,65531
720575940615518314,100559,65948
720575940615556246,100768,66035
720575940615571423,100791,66058
720575940615578783,100845,66408
720575940615590250,100903,67166
720575940615679850,100962,67200
720575940615686506,101086,67204
720575940615757122,101107,67306
720575940615880607,101150,67738
720575940615890235,101255,68233
720575940615928635,101294,68903
720575940615944854,101412,69448
720575940615958175,101467,69465
720575940616014348,101686,69670
720575940616066154,101760,69840
720575940616141378,101891,69864
720575940616149204,101924,70381
720575940616150203,101958,70984
720575940616276921,102003,71235
720575940616389430,102053,71455
720575940616479965,102173,71465
720575940616493243,102211,71597
720575940616500786,102303,72979
720575940616510325,102593,73209
720575940616536203,102761,73652
720575940616537461,102827,73749
720575940616595165,102848,73791
720575940616614742,102921,74317
720575940616683826,103089,75254
720575940616810582,103164,75672
720575940616825275,103175,75776
720575940616851643,103232,76020
720575940616891195,103238,76118
720575940616924428,103259,76252
720575940616944726,103486,76480
720575940616949109,103914,76519
720575940616982155,103975,76785
720575940616982411,103983,76828
720575940616985973,104041,77027
720575940617001266,104103,77165
720575940617039733,104175,77265
720575940617045365,104183,77361
720575940617056598,104280,77402
720575940617088837,104295,77511
720575940617099125,104355,78086
720575940617103163,104506,78108
720575940617108786,104556,78161
720575940617205590,104672,78383
720575940617259094,104804,78664
720575940617299003,104886,78675
720575940617345467,104921,78816
720575940617366155,104968,78846
720575940617414283,104971,78940
720575940617426496,105164,79274
720575940617437913,105196,79322
720575940617469277,105248,79588
720575940617509947,105481,79603
720575940617543124,105624,79676
720575940617545985,105691,79781
720575940617548177,105796,79828
720575940617557204,105853,80075
720575940617597881,105941,80142
720575940617607385,105963,80154
720575940617611481,106054,80501
720575940617686356,106080,80647
720575940617690041,106298,80662
720575940617694694,106423,80777
720575940617702868,106815,80785
720575940617777337,107050,80866
720575940617830289,107070,80881
720575940617840897,107178,81015
720575940617841297,107278,81301
720575940617865105,107302,81327
720575940617930241,107399,81342
720575940617951974,107612,81418
720575940617953793,107651,81480
720575940617963934,107667,81715
720575940617997917,107675,81734
720575940618091035,107774,81804
720575940618095650,107782,81812
720575940618100770,107868,81831
720575940618171677,107902,81887
720575940618199513,107994,81927
720575940618210305,108006,81938
720575940618257337,108032,82003
720575940618259357,108107,82145
720575940618262758,108212,82184
720575940618273821,108252,82931
720575940618305108,108272,83054
720575940618317617,108327,83060
720575940618317853,108350,83125
720575940618343252,108688,83171
720575940618345243,108750,83201
720575940618441812,108842,83209
720575940618482013,108917,83274
720575940618491805,108931,83302
720575940618511643,109009,83324
720575940618623181,109160,83373
720575940618632532,109442,83397
720575940618639189,109457,83545
720575940618682448,109605,83686
720575940618693154,109725,83689
720575940618714651,109733,83973
720575940618723397,109736,83986
720575940618730325,109777,84264
720575940618751045,109779,84292
720575940618752837,109962,84478
720575940618769054,110085,84520
720575940618881950,110101,84753
720575940618905246,110136,84851
720575940618906790,110195,84857
720575940618908062,110240,84878
720575940618920395,110318,84918
720575940618933149,110319,85026
720575940619077445,110346,85140
720575940619122512,110350,85248
720575940619144571,110441,85369
720575940619232704,110469,85611
720575940619260470,110478,85695
720575940619260795,110541,85716
720575940619302454,110550,86027
720575940619320188,110597,86117
720575940619324283,110617,86195
720575940619334966,110668,86242
720575940619336256,110717,86343
720575940619361445,110779,86398
720575940619376856,110933,86582
720575940619408219,110986,86696
720575940619444603,110993,86786
720575940619451887,110995,86807
720575940619469214,111005,87098
720575940619568478,111009,87196
720575940619594545,111031,87315
720575940619646685,111066,87429
720575940619679425,111081,87520
720575940619684918,111153,87847
720575940619738584,111166,87869
720575940619772062,111202,87994
720575940619792589,111208,88659
720575940619818033,111258,88816
720575940619833816,111276,88821
720575940619835953,111390,88930
720575940619906251,111485,88934
720575940619930929,111580,88985
720575940619934680,111617,88998
720575940619958699,111642,89023
720575940619963697,111712,89025
720575940619987659,111715,89138
720575940619997269,111838,89147
720575940620018256,111863,89167
720575940620032336,112021,89378
720575940620035664,112037,89429
720575940620049488,112123,89535
720575940620055768,112202,89569
720575940620108411,112282,89592
720575940620176263,112309,89693
720575940620182321,112368,89790
720575940620194951,112372,89845
720575940620210054,112544,89892
720575940620210512,112587,89953
720575940620285131,112637,89954
720575940620363355,112639,89963
720575940620418836,112655,90008
720575940620427712,112679,90016
720575940620440199,112731,90120
720575940620443156,112800,90158
720575940620471893,112802,90258
720575940620486336,112862,90293
720575940620497279,112890,90311
720575940620575085,112931,90340
720575940620607508,112957,90371
720575940620627439,113187,90520
720575940620634096,113205,90597
720575940620652016,113295,90609
720575940620655087,113360,90688
720575940620656775,113362,90719
720575940620657428,113373,90733
720575940620657799,113503,90760
720575940620702703,113551,90779
720575940620727022,113552,90834
720575940620749249,113554,90877
720575940620749761,113556,90888
720575940620750273,113561,90926
720575940620754285,113577,91118
720575940620766702,113637,91253
720575940620788672,113726,91328
720575940620816299,113763,91345
720575940620826492,113944,91392
720575940620885441,114143,91434
720575940620886406,114412,91474
720575940620909806,114434,91732
720575940620920411,114501,91746
720575940620931931,114512,91798
720575940620952948,114533,91827
720575940620967039,114543,91913
720575940620971691,114690,91933
720575940621017771,114692,92000
720575940621023214,114701,92007
720575940621079393,114768,92046
720575940621091425,114822,92054
720575940621092955,114825,92071
720575940621096801,114841,92114
720575940621243073,114915,92141
720575940621244781,114975,92171
720575940621266017,115107,92258
720575940621307073,115172,92356
720575940621311965,115206,92395
720575940621314480,115250,92439
720575940621332596,115272,92577
720575940621368496,115324,92592
720575940621388982,115387,92706
720575940621393830,115465,92805
720575940621413729,115506,92820
720575940621439216,115523,92839
720575940621447406,115530,92935
720575940621474486,115590,93021
720575940621482678,115605,93166
720575940621489846,115784,93214
720575940621511796,115851,93390
720575940621514166,115861,93408
720575940621520756,115886,93458
720575940621549172,115908,93499
720575940621564763,115940,93556
720575940621592558,115947,93630
720575940621601857,115975,93668
720575940621636084,116088,93670
720575940621641392,116124,93673
720575940621642612,116182,93816
720575940621651233,116219,93826
720575940621673933,116301,93858
720575940621678196,116305,93879
720575940621689838,116417,93920
720575940621693616,116418,93923
